Estado,OSIG,n_personas,ingreso_laboral,consumo,ISR,IVA,Total aportacion
Morelos,otro,3249.0,25487379.0,52363986.0,2000971.0,1689532.0,3690504.0
México,Lesbiana,46581.0,169384996.0,654767591.0,9280085.0,13640252.0,22920337.0
México,Normativo,12729557.0,73314966780.0,226997972358.0,5618848711.0,3473977844.0,9092826555.0
México,T+,98127.0,357281354.0,1462585629.0,21696255.0,19010478.0,40706733.0
México,bisexual,218799.0,963538344.0,4207871640.0,77519800.0,45314651.0,122834452.0
México,gay,62528.0,498890428.0,988497203.0,42543900.0,19077130.0,61621031.0
México,otro,63559.0,116466925.0,968885233.0,5421671.0,8988938.0,14410610.0
Nayarit,Lesbiana,2341.0,34785792.0,59221415.0,4714459.0,1815676.0,6530135.0
Nayarit,Normativo,882576.0,5754233620.0,15560860757.0,488923744.0,285599189.0,774522934.0
Nayarit,T+,9313.0,52751565.0,169380813.0,4755326.0,3384883.0,8140209.0
Nayarit,bisexual,22468.0,124155376.0,475092666.0,7815843.0,6429653.0,14245496.0
Nayarit,gay,8852.0,61416209.0,172493727.0,4606542.0,3319986.0,7926528.0
Nayarit,otro,826.0,376541.0,14104916.0,7371.0,89006.0,96377.0
Nuevo León,Lesbiana,13002.0,95402538.0,196343290.0,9289809.0,4996921.0,14286730.0
Nuevo León,Normativo,4369860.0,35219382955.0,93422553556.0,3007897810.0,1524087504.0,4531985320.0
Nuevo León,T+,40179.0,239201627.0,665784004.0,8896607.0,9945341.0,18841948.0
Nuevo León,bisexual,148462.0,726226309.0,3042415273.0,36477831.0,37691221.0,74169052.0
Nuevo León,gay,67442.0,564818097.0,1627680388.0,54841155.0,25071140.0,79912294.0
Nuevo León,otro,17405.0,116301373.0,274683945.0,1971505.0,4753248.0,6724754.0
Oaxaca,Lesbiana,7324.0,13703872.0,74964731.0,472347.0,1255685.0,1728032.0
Oaxaca,Normativo,2851930.0,12841774116.0,39002904926.0,860585124.0,630769845.0,1491354972.0
Oaxaca,T+,52984.0,183793519.0,746252228.0,14542516.0,8878001.0,23420517.0
Oaxaca,bisexual,83228.0,305485122.0,1243730550.0,16938609.0,13206479.0,30145088.0
Oaxaca,gay,43521.0,204389262.0,650365588.0,9394468.0,9968153.0,19362621.0
Oaxaca,otro,24490.0,67715931.0,393344944.0,2961810.0,4436708.0,7398518.0
Puebla,Lesbiana,2325.0,15373679.0,26626158.0,0.0,919074.0,919074.0
Puebla,Normativo,4678997.0,23818423573.0,74452630542.0,1813031442.0,1211872555.0,3024903997.0
Puebla,T+,46030.0,203501476.0,758234540.0,13306879.0,10396383.0,23703262.0
Puebla,bisexual,133360.0,389549199.0,2042580785.0,18521945.0,19757237.0,38279181.0
Puebla,gay,77179.0,431913863.0,1434780760.0,25844250.0,18120704.0,43964955.0
Puebla,otro,8184.0,36495089.0,113491903.0,2270109.0,1877872.0,4147981.0
Querétaro,Lesbiana,12523.0,54877262.0,206488080.0,3985009.0,3439338.0,7424348.0
Querétaro,Normativo,1711672.0,10643359235.0,32278083038.0,820971358.0,528836247.0,1349807606.0
Querétaro,T+,19036.0,145682473.0,429851310.0,13114967.0,6766129.0,19881096.0
Querétaro,bisexual,88694.0,388602678.0,1967746741.0,24288911.0,23891555.0,48180467.0
Querétaro,gay,24246.0,188117965.0,498942815.0,19554018.0,8704214.0,28258232.0
Querétaro,otro,9254.0,16642380.0,154779543.0,642029.0,1612196.0,2254226.0
Quintana Roo,Lesbiana,12004.0,44612687.0,195066903.0,3625711.0,3648854.0,7274564.0
Quintana Roo,Normativo,1351965.0,8605431396.0,22978872787.0,673304895.0,427622429.0,1100927322.0
Quintana Roo,T+,20815.0,135761597.0,332090145.0,10168148.0,5030032.0,15198181.0
Quintana Roo,bisexual,39579.0,208052767.0,642694152.0,12744900.0,11359124.0,24104024.0
Quintana Roo,gay,21494.0,178736481.0,463719048.0,17411238.0,7861156.0,25272394.0
Quintana Roo,otro,2742.0,24540705.0,66779433.0,2301334.0,861303.0,3162637.0
San Luis Potosí,Lesbiana,10957.0,62431295.0,182874159.0,6125653.0,2865272.0,8990926.0
San Luis Potosí,Normativo,2012393.0,12213800185.0,35639770825.0,1045843551.0,570034410.0,1615877964.0
San Luis Potosí,T+,24555.0,78091302.0,362121424.0,3967565.0,3843121.0,7810686.0
San Luis Potosí,bisexual,56602.0,251414405.0,1086735254.0,14587507.0,12554582.0,27142089.0
San Luis Potosí,gay,31347.0,234279910.0,494711225.0,17624390.0,9287636.0,26912026.0
San Luis Potosí,otro,13663.0,45693900.0,260035313.0,3006638.0,3181400.0,6188038.0
Sinaloa,Lesbiana,5502.0,38244327.0,145101495.0,3977690.0,2265474.0,6243164.0
Sinaloa,Normativo,2256255.0,14014990079.0,41846955500.0,1070937995.0,710990016.0,1781928010.0
Sinaloa,T+,23912.0,134731404.0,384350615.0,7320346.0,5549744.0,12870089.0
Sinaloa,bisexual,37672.0,164114405.0,789118626.0,15506684.0,10623740.0,26130424.0
Sinaloa,gay,42629.0,336909672.0,895921890.0,28034078.0,11998803.0,40032881.0
Sinaloa,otro,11923.0,70370086.0,266885935.0,5770092.0,2704010.0,8474103.0
Sonora,Lesbiana,10791.0,49669521.0,192021719.0,2596749.0,2289095.0,4885844.0
Sonora,Normativo,2155442.0,15981363872.0,42662375198.0,1291452670.0,745489725.0,2036942388.0
Sonora,T+,33355.0,111052117.0,655204630.0,5437202.0,7660320.0,13097522.0
Sonora,bisexual,56229.0,314749537.0,1102887248.0,19874292.0,14300446.0,34174737.0
Sonora,gay,34849.0,288592793.0,657777914.0,13782132.0,11092609.0,24874740.0
Sonora,otro,7156.0,56025131.0,198495255.0,5502442.0,2145546.0,7647988.0
Tabasco,Lesbiana,9902.0,42054279.0,174349507.0,2253965.0,2872749.0,5126714.0
Tabasco,Normativo,1689947.0,9123772996.0,25876700949.0,663714418.0,452505813.0,1116220230.0
Tabasco,T+,17875.0,73908595.0,243766696.0,4490760.0,3617005.0,8107764.0
