Estado,OSIG,ingreso_laboral,consumo,n_personas,ISR,IVA,Total aportacion,factor_ing_lab,factor_consumo,factor_ISR,factor_IVA,factor_aportacion_total
Chiapas,Lesbiana,35321.5501,82841.9525,32383.0,3159.845205,1731.7401,4891.585503,118143880.1319,368030748.1489,8919013.91031,5670308.841604,14589323.209892001
Chiapas,Normativo,6019441.15573,16956160.7684,3737757.0,456931.2613124,325043.164793,781974.426466,16239224504.36248,49110838563.5841,1199038366.72692,777218661.46642,1976257031.367309
Chiapas,T+,52013.13982,183255.1958,41700.0,2219.5127044,3405.1628690000002,5624.675554,126514880.78314,508193017.2162,5946448.980335601,7001603.388026,12948052.382426
Chiapas,bisexual,59271.16551,290738.0446,72002.0,2994.261811,3231.10681,6225.368585,192152090.68961,1043484980.7955,9166511.769545,8964808.583819,18131320.075424
Chiapas,gay,115740.50267,272732.4758,51046.0,9197.665152,5596.569783,14794.234883,276188223.10521,734341494.1503,18869838.266195,12578428.227624,31448266.426504
Chiapas,otro,27106.034610000002,107053.6431,18317.0,2076.5520091999997,2178.6341859999998,4255.186304,43669908.56561,303863124.5956,2885064.4707988,3475309.956604,6360374.530046
Chihuahua,Lesbiana,47922.238,101795.242,15611.0,995.42062,1959.07313,2954.49376,140310157.5577,368964710.988,1974533.01534,4682954.68131,6657487.7178
Chihuahua,Normativo,10193075.21711,24090117.4073,2718000.0,969683.723905,533406.691455,1503090.416805,21050205482.87145,53988528185.0225,1984256846.500926,970312064.045813,2954568913.031017
Chihuahua,T+,45647.6294,128215.7322,20178.0,2304.51391,1677.65116,3982.16503,95180872.5238,308344904.6358,5226018.56558,3399541.7971200002,8625560.262360001
Chihuahua,bisexual,141304.90161,433845.1945,48673.0,9228.514217,7363.104009000001,16591.618280000002,274810350.29301,932988330.6520001,13951811.009337,13304944.205745,27256755.28846
Chihuahua,gay,246188.4992,404341.8138,48860.0,20871.07093,10478.15733,31349.22795,466328931.3131,818167582.124,39629992.00091,16866814.804700002,56496806.35981
Chihuahua,otro,6024.39347,45666.489,5310.0,314.87042,322.16004,637.03043,20479138.01066,136887953.43400002,1181393.81584,1012482.08692,2193875.7901999997
Ciudad de México,Lesbiana,95533.0025,208061.147,57117.0,12437.887643999999,5445.23959,17883.12764,464640681.88350004,1259622730.8270001,49136937.611096,24600417.99388,73737357.0153
Ciudad de México,Normativo,10110725.87484,25785931.8719,7536277.0,987920.1921428,637036.206909,1624956.394907,54582423083.77706,156396747629.6671,5068660880.204594,2922542014.985938,7991202867.251606
Ciudad de México,T+,50468.7867,133175.674,31074.0,4338.54762,2880.55089,7219.09861,200133171.6896,596134305.927,16661607.115600001,10667847.68622,27329454.81724
Ciudad de México,bisexual,107463.20951,292001.223,84563.0,11329.988905,6379.087895000001,17709.07667,491030098.39805,1765116061.626,48204146.27385,29045461.483395,77249607.30532
Ciudad de México,gay,171085.828,347824.994,111857.0,18444.980754,8044.44939,26489.43033,1153625881.7239,2902599801.616,130755204.796166,43806342.832430005,174561548.89021
Ciudad de México,otro,34590.3139,76667.927,26177.0,3435.3051579999997,2280.194619,5715.499768000001,149676373.72199997,449096834.542,13625429.696309999,8092616.263005,21718045.78046
Coahuila de Zaragoza,Lesbiana,27231.1881,62056.0905,11827.0,970.4948699999999,1421.87364,2392.3685,77092324.9181,161529813.853,3247741.4522399995,2876106.7883099997,6123848.194510001
Coahuila de Zaragoza,Normativo,9461531.37536,23643447.2871,2323760.0,854154.1387165,514262.191752,1368416.33231,17686652350.26962,43582864400.2228,1601120140.6385205,761772705.767271,2362892845.659754
Coahuila de Zaragoza,T+,90262.4472,239607.4986,23634.0,7420.21882,3680.3574799999997,11100.57649,140824155.8631,466877374.6256,10465062.53841,5647038.174969999,16112101.02179
Coahuila de Zaragoza,bisexual,170520.92989,505005.0645,41384.0,12162.741899,9711.608326,21874.350444,261880592.74831,891473635.74,15059904.511591,14040589.483164,29100494.130675998
Coahuila de Zaragoza,gay,136545.7387,264522.042,27842.0,13446.84928,4580.196589,18027.046009,236907151.2593,543856639.424,17281352.050389998,7335993.435177,24617345.678907
Coahuila de Zaragoza,otro,18335.61513,46893.138999999996,4770.0,2982.605757,1205.5845989999998,4188.19035,23380644.56453,90999591.33500001,3580538.094217,1661936.603419,5242474.67615
Colima,Lesbiana,54003.6457,144171.6879,3212.0,2648.23477,2608.7445000000002,5256.97933,21769777.9939,53405453.8668,1365419.7061899998,964530.0530600001,2329949.7859300002
Colima,Normativo,9536554.93517,22977830.0435,527655.0,835262.453174,530938.106358,1366200.559674,3749960693.8766,9806022353.9802,308905998.941381,183743083.234173,492649082.827359
Colima,T+,127964.69649999999,312905.8781,9817.0,13024.173273,6113.6452500000005,19137.81848,57137386.1022,176331502.9183,4563345.400395,2526772.91444,7090118.20983
Colima,bisexual,303951.25405,953606.3476,25421.0,25626.473648,15409.607231,41036.081122999996,169971239.77028,532579182.0239,12727256.474357,7446532.4128519995,20173789.007594
Colima,gay,160808.06220000001,322080.116,5854.0,18358.76088,8447.21428,26805.97495,45684563.0488,110077202.6108,4918614.17779,2357297.46194,7275911.5899
Colima,otro,62008.2096,180303.49550000002,6114.0,4015.82796,3028.819494,7044.6473399999995,34304611.700500004,110143296.5555,2664403.50825,1400590.931696,4064994.3413000004
Durango,Lesbiana,25060.86268,89319.195,4312.0,1919.590234,2213.00366,4132.59382,17148624.490620002,61676669.8963,1285059.347759,1522751.21815,2807810.5162199996
Durango,Normativo,8155354.92702,21620011.3563,1270312.0,688028.5370574,440482.107609,1128510.642545,8156548219.9236,23161961029.625698,694131670.4368088,384943229.537988,1079074900.2192621
Durango,T+,106695.64328,313360.058,23399.0,10580.510853,6309.976743,16890.487953,107178788.51347,472372907.98399997,9183517.201182,6013463.652614,15196980.967513999
Durango,bisexual,163790.27511000002,599993.9618,36528.0,11045.414025,9352.20828,20397.622542,152999747.71505,719293002.406,9751971.608793,8528314.919206,18280286.610708002
Durango,gay,161859.47646,375728.2941,21628.0,15791.734277,6944.92591,22736.660566,149559832.51742002,418972726.8034,13912509.736434,5841415.660631,19753925.52547
Durango,otro,36113.71845,171705.256,10583.0,3086.626073,1686.211396,4772.83743,40881779.54425,205726205.65899998,3141909.397569,1915464.95172,5057374.3439
Guanajuato,Lesbiana,32787.7339,76214.02100000001,6766.0,1919.76802,1458.31522,3378.08332,57467977.9341,130367004.218,3937596.2930400004,2407614.5607600003,6345211.021799999
Guanajuato,Normativo,8201249.31724,24138540.5445,4411008.0,645467.9686123,458813.654993,1104281.622734,24639140693.09504,79929280818.8893,1877064439.0302925,1194970397.941051,3072034833.368352
Guanajuato,T+,58212.0632,229235.086,40889.0,4168.183267,3351.4514400000003,7519.63485,200389489.60698,768471052.756,12683285.89937,9425435.32836,22108721.696480002
Guanajuato,bisexual,186249.43441,747079.695,117387.0,14228.112045,10152.295478,24380.407721,582063048.3627,2679128803.06,43626978.683272,29037419.300949,72664397.956782
Guanajuato,gay,93856.92354,229492.913,45818.0,7441.124,4576.994052,12018.117832,261092879.06243998,761198470.396,15614630.99249,10730544.284352,26345174.766682
Guanajuato,otro,10604.8277,50067.247,17097.0,398.379567,347.161778,745.54134,52402285.3631,300709784.156,1697375.313825,1823398.9371600002,3520774.21211
