Estado,OSIG,ingreso_laboral,consumo,n_personas,ISR,IVA,Total aportacion,factor_ing_lab,factor_consumo,factor_ISR,factor_IVA,factor_aportacion_total
Tamaulipas,T+,30114.90507,93007.4767,11828.0,2662.720385,2163.07587,4825.79609,51495034.509959996,182132270.9628,3897100.4511999995,2931694.99658,6828795.24378
Tamaulipas,bisexual,108521.1339,328283.5824,42901.0,10419.207556,5728.887029,16148.094519999999,225763820.3924,824647308.718,17019578.230189,10262147.01202,27281725.15825
Tamaulipas,gay,111329.743,204681.533,20884.0,10087.390363999999,5487.874005,15575.264369999999,202733644.6562,436768241.38100004,20455567.53036,9416077.53481,29871645.21929
Tamaulipas,otro,9524.9033,23304.762,3218.0,0.0,333.44992,333.44992,30651138.8194,74994724.116,0.0,1073041.84256,1073041.84256
Tlaxcala,Lesbiana,21103.5502,68563.8824,3868.0,843.7508799999999,848.329153,1692.08005,16533571.346,56420541.833799995,778453.2312899999,614123.254979,1392576.49431
Tlaxcala,Normativo,7112496.11833,19746219.9523,971741.0,602493.8857999,390180.402931,992674.28775,5309542248.0362,16221767269.6137,444680190.0579419,254001399.088535,698681588.065825
Tlaxcala,T+,96061.7965,223542.356,9154.0,9439.44747,3522.12915,12961.57644,70491460.258,169250550.102,7219102.35023,2557127.68163,9776229.917609999
Tlaxcala,bisexual,166746.481,559617.5732,25644.0,14738.791617,9706.550585,24445.342023999998,128478357.9991,515690924.9654,10505149.313685,6438922.124523,16944071.29064
Tlaxcala,gay,160169.26819,378211.56070000003,21039.0,16587.086145,7981.504976,24568.590739,122171247.29209,373354092.2593,10800827.726863,5545966.022654,16346793.520417001
Tlaxcala,otro,18791.0559,55709.114,2980.0,2359.6931,550.17045,2909.8635,34295311.2172,90374371.388,4653403.262399999,870479.70636,5523882.8756
Veracruz de Ignacio de la Llave,Lesbiana,49191.8555,87562.034,21482.0,4679.670319999999,1856.7150000000001,6536.3855,235807706.696,423386119.782,21664121.13854,8128357.37241,29792479.21835
Veracruz de Ignacio de la Llave,Normativo,5328286.71807,15066429.5484,6086140.0,393600.7488548,336213.545935,729814.297133,30025707483.8381,89815504087.9409,2254821864.079483,1632464872.435132,3887286747.869612
Veracruz de Ignacio de la Llave,T+,31817.46278,80482.3032,36852.0,962.352679,1609.440256,2571.79291,130021167.74762,399421094.7536,3804919.419981,6453350.19526,10258269.524230001
Veracruz de Ignacio de la Llave,bisexual,115559.23457,423916.76,176707.0,8391.878724,6670.235823,15062.114656,667036864.38995,2846091628.6058,41758166.337695,33646956.36996,75405123.154252
Veracruz de Ignacio de la Llave,gay,49883.1863,89076.1678,35715.0,1574.9464400000002,2218.9518900000003,3793.89836,209787088.8789,442359116.4896,7320768.213040001,8118581.12174,15439349.57878
Veracruz de Ignacio de la Llave,otro,30065.3663,97537.7515,37102.0,2600.47059,1873.9802300000001,4474.45088,138683159.2099,537829240.6781,11467687.75829,9312835.77113,20780523.86128
Yucatán,Lesbiana,59677.9741,159943.9026,12844.0,6701.623246,2977.45235,9679.07529,65364324.9502,204824910.85639998,6556296.53341,3467546.38422,10023842.62144
Yucatán,Normativo,7382590.84735,20024929.7254,1664087.0,583227.3289868,422197.137187,1005424.467337,9305436147.13728,27571676650.6128,706074789.2649183,448977023.452966,1155051815.617125
Yucatán,T+,170870.08912,512536.51300000004,47728.0,14356.516087,8833.531342,23190.04726,265374600.10373,868762998.6072,24197934.553275,11765039.371136,35962973.81013
Yucatán,bisexual,293813.04331,753969.8632,53436.0,24422.3269333,17741.867149,42164.194467,319163574.93705,905705631.0879,27123935.1957889,16939315.281863,44063250.856345
Yucatán,gay,164880.391,337459.1445,29881.0,11051.19861,7072.924068,18124.1225,214755267.1131,481059512.5553,13128277.29097,7515785.794276,20644062.96536
Yucatán,otro,43524.23181,122989.045,7663.0,4803.58861,3485.52802,8289.116629999999,42682703.652480006,146986796.191,3456804.86423,3006460.5671800002,6463265.468739999
Zacatecas,Lesbiana,77408.2707,181333.0119,10660.0,5396.061956,3729.85473,9125.9165,65003422.1215,182335564.0476,4458872.37938,2661729.27967,7120601.5412099995
Zacatecas,Normativo,8351062.97947,22194807.189,1103069.0,705884.1057762,497277.519203,1203161.623839,6889274001.98638,19529486618.7667,575930072.1220008,344683414.637511,920613486.433509
Zacatecas,T+,45990.448599999996,171134.9382,8867.0,3481.9820259999997,4207.21065,7689.19264,35800164.9265,141766701.05900002,2565603.12677,2605177.79923,5170780.91351
Zacatecas,bisexual,181136.97031,651864.2287,33501.0,15505.819449999999,12398.162397,27903.981989,135086421.96184,603770408.0886,9952664.844403,7978599.590642,17931264.509575002
Zacatecas,gay,131051.5165,309141.016,18247.0,7923.129772,5873.961563,13797.09135,113376595.6001,291416492.6195,6062763.046094,4418890.162036,10481653.29933
Zacatecas,otro,17352.25865,96152.807,3992.0,1462.26926,1698.31581,3160.585,9169222.57625,79756703.389,613899.651902,1011007.94461,1624907.56722
Nacional,Lesbiana,1389512.4128700001,3502603.371,439018.0,123533.580885,78705.478959,202239.060835,2667499058.11945,7785127926.1341,211930791.430108,137908474.644219,349839268.984726
Nacional,Normativo,265695872.13839,691235916.4605,92233141.0,22285852.647098,14887709.548282,37173562.190457,568782123693.0115,1631822663700.6187,46450517215.72008,27595740855.423664,74046258049.49413
Nacional,T+,2425875.0541499997,7212175.2279,908586.0,182237.3614953,130328.82992999999,312566.191811,4287488497.4392,15337571289.5406,284306761.9573128,203965879.280279,488272641.934183
Nacional,bisexual,5258307.11131,18413274.8835,2169375.0,373808.3398193,300201.95734,674010.297413,9581804690.8851,40854615959.7437,626718859.9710829,499265885.389057,1125984743.933115
Nacional,gay,4351413.8866,9513214.9592,1085883.0,396832.115551,213841.267159,610673.381433,8087504109.27215,20579811468.0819,686773808.6878949,332477671.581547,1019251479.685483
Nacional,otro,950889.31485,3089420.4488,396686.0,77874.0168897,54348.215178,132222.23187299998,1765956034.80389,7173234813.4655,123026942.7952778,94809135.156674,217836078.119105
